gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
ZeamMp097,BUPS2,0.0,0.0,0.855,0.886,-0.031,1.37533456307243,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZmaLNC013789,ZmaLNC013789,0.0,0.0,0.908,0.887,0.021,1.08381676549603,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp050,ZeamMp050,0.0,0.0,0.884,0.888,-0.004,1.01427225364506,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp098,CCB382,9.44231900113511e-286,6.35468068776393e-281,0.657,0.655,0.002,1.28939207482128,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d037929,Zm00001d037929,1.90121991624492e-248,1.27952100363283e-243,0.225,0.436,-0.211,0.735710091386022,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d000270,Zm00001d000270,5.84244230463076e-163,3.9319636710165006e-158,0.667,0.753,-0.086,1.37831654845811,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d018481,XIA,4.2394531501723005e-146,2.85315197006596e-141,0.267,0.458,-0.191,0.5369832346272,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZmaLNC020728,ZmaLNC020728,2.4795364639349402e-144,1.66872804022821e-139,0.614,0.65,-0.036,2.44570745388578,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp051,ORF25,1.2714807780227102e-111,8.55706563609286e-107,0.559,0.593,-0.0339999999999999,1.04965847457132,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZemaCp047,CLPP1,3.07866098706467e-107,2.07193884429453e-102,0.603,0.665,-0.0620000000000001,1.15604919084695,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZmaLNC000464,ZmaLNC000464,5.2643667654908595e-107,3.54291883317535e-102,0.208,0.347,-0.139,0.627259491971563,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d048667,RAF11,4.14867988441428e-90,2.79206156221081e-85,0.206,0.335,-0.129,0.518543732339017,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp024,RPS3,2.22653845933298e-80,1.4984603831311e-75,0.382,0.357,0.025,1.23980207803374,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d022388,FD-GOGAT,4.37986488629593e-80,2.94764906847716e-75,0.224,0.355,-0.131,0.565897597035914,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZmaLNC013792,ZmaLNC013792,3.5627477069949e-67,2.39772920680757e-62,0.214,0.161,0.053,0.883832194150317,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d011610,GLT1,8.42244839254036e-67,5.66830776817966e-62,0.207,0.323,-0.116,0.545862693293881,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp136,COX1,2.99898510255075e-64,2.01831697401666e-59,0.472,0.5,-0.028,1.02586641176241,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d026306,Zm00001d026306,2.8955268175748e-49,1.9486895482278402e-44,0.255,0.376,-0.121,0.518697556264385,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp161,COX3,1.39142609329936e-45,9.36429760790469e-41,0.326,0.314,0.012,1.13328559466227,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp044,IWS2,3.81761987686596e-45,2.56925817713079e-40,0.443,0.478,-0.035,1.28875275519454,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZmaLNC017043,ZmaLNC017043,3.19726608485934e-41,2.15176007511034e-36,0.218,0.315,-0.097,0.564875121349626,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp088,ZeamMp088,2.49241884534175e-39,1.677397882915e-34,0.334,0.323,0.011,0.925647752460444,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp184,ZeamMp184,1.18899866094347e-37,8.001960988149579e-33,0.482,0.538,-0.056,0.94746391120513,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp057,RPL16,7.0740108230174405e-37,4.76080928389073e-32,0.227,0.199,0.028,1.02275698836829,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp094,ORF149,1.03188755868644e-30,6.944603269959709e-26,0.419,0.605,-0.186,0.672721387648345,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp182,ATP6-2,2.18106155594976e-29,1.4678544271541901e-24,0.337,0.344,-0.0069999999999999,1.06579301984807,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d043845,Zm00001d043845,1.17024306471286e-28,7.87573582551758e-24,0.359,0.503,-0.144,0.566374602200717,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZmaLNC024730,ZmaLNC024730,1.49699875806756e-28,1.00748016417947e-23,0.224,0.317,-0.093,1.03178914561043,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d046083,NAD1,3.0735321089417003e-25,2.06848710931777e-20,0.298,0.295,0.003,0.989166521311552,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp041,ZeamMp041,8.2231277741499e-24,5.53416499200288e-19,0.448,0.519,-0.071,1.38255381767832,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp113,ZeamMp113,1.13517340282728e-20,7.63971700102757e-16,0.26,0.253,0.007,0.940131881344237,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp022,ZeamMp022,1.36545913477656e-19,9.189539977046221e-15,0.25,0.241,0.009,0.939814624259481,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZemaCp055,RPS11,1.46389300960892e-11,9.85199995466805e-07,0.212,0.273,-0.061,0.87408497434946,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d031779,Zm00001d031779,2.41168547472499e-10,1.62306432448992e-05,0.313,0.388,-0.075,0.510303465431244,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZeamMp158,WRKY55,1.323347561739e-09,8.90612909050346e-05,0.302,0.32,-0.018,0.856697842390683,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
ZemaCp062,RPL22,7.74893686636247e-08,0.0052150345110619,0.426,0.51,-0.084,1.19609003119437,Unknow,zea_mays->SP:0000000,zea_mays,Unknow,SRP145013
Zm00001d003707,Zm00001d003707,0.0,0.0,0.791,0.198,0.593,2.00620665470519,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d049683,Zm00001d049683,0.0,0.0,0.688,0.07,0.618,1.53704465939033,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d025402,Zm00001d025402,0.0,0.0,0.513,0.089,0.424,1.50506528600489,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d048625,Zm00001d048625,0.0,0.0,0.649,0.143,0.506,1.23231526194441,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d008299,PRX9,0.0,0.0,0.275,0.058,0.217,1.21145682390743,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d002898,Zm00001d002898,0.0,0.0,0.756,0.325,0.431,1.04856037652968,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d012561,CYSA,0.0,0.0,0.583,0.242,0.341,1.03340897594004,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d028129,Zm00001d028129,0.0,0.0,0.556,0.122,0.434,0.977556656268711,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d034414,Zm00001d034414,0.0,0.0,0.26,0.055,0.205,0.955502309616704,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d028486,Zm00001d028486,0.0,0.0,0.457,0.051,0.406,0.926553877511369,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
ZmaLNC008498,ZmaLNC008498,0.0,0.0,0.62,0.168,0.452,0.894821042349172,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d029558,Zm00001d029558,0.0,0.0,0.638,0.294,0.344,0.888745679983928,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d013089,LTPG15,0.0,0.0,0.204,0.037,0.167,0.871042621246673,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d029968,NDK1,0.0,0.0,0.897,0.815,0.0820000000000001,0.866938144530656,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d026505,Zm00001d026505,0.0,0.0,0.56,0.171,0.389,0.862761650495271,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d052335,Zm00001d052335,0.0,0.0,0.696,0.354,0.342,0.837712051998995,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
Zm00001d043242,Zm00001d043242,0.0,0.0,0.417,0.009,0.408,0.831385170685,Root pith,zea_mays->PO:0009005->PO:0020124->PO:0005040,zea_mays,Root,SRP145013
